Unnamed: 0,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,full adress,lat,lng,url
6,Nieuwerkerken,Appartement,,221942,notariale,2,74.0,0,0,0,,,0,,,,,0,,2021.0,," 24 / 2.2, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/appartement/JY540/
7,Sint-Truiden,Maison,,415000,notariale,4,271.0,0,0,0,,,0,,,,4.0,0,,1978.0,283.0," 24, 3800 Sint-Truiden",50.81503,5.18508,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/maison/JY53Z/
8,Sint-Truiden,Maison,,410000,notariale,3,159.0,0,0,0,,,0,,,,4.0,0,,2021.0,," 128, 3800 Sint-Truiden",50.92282,5.33221,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/maison/JY53Q/
9,Nieuwerkerken,Appartement,,300000,notariale,2,57.0,0,0,0,,,0,,,,,0,,2021.0,," 24 / 0.1, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/appartement/JY53S/
0,Sint-Truiden,Maison,,229000,notariale,3,60.0,0,0,0,,,0,,,,3.0,0,,1850.0,490.0," 93, 3800 Sint-Truiden",50.81503,5.18508,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/maison/JY54V/
1,Borgloon,Appartement,,275000,notariale,2,83.0,0,0,0,,,0,,,,,0,,2019.0,," 18 / 101, 3840 Borgloon",50.80152,5.34423,https://www.zimmo.be/fr/borgloon-3840/a-vendre/appartement/JY551/
2,Gingelom,Appartement,,169000,notariale,1,72.0,0,0,0,,,0,,,,,0,,,221.0," Katsei 38A, 3890 Gingelom",50.74782,5.12981,https://www.zimmo.be/fr/gingelom-3890/a-vendre/appartement/JY54L/
3,Wellen,Maison,,310000,notariale,5,87.0,0,0,0,,,0,,,,4.0,0,,1980.0,377.0," 66, 3830 Wellen",50.84062,5.33722,https://www.zimmo.be/fr/wellen-3830/a-vendre/maison/JY54S/
4,Gingelom,Maison,,299000,notariale,3,55.0,0,0,0,,,0,,,,3.0,0,,,258.0," Katsei 38, 3890 Gingelom",50.74794,5.12957,https://www.zimmo.be/fr/gingelom-3890/a-vendre/maison/JY54Y/
5,Gingelom,Maison,,449000,notariale,4,27.0,0,0,0,,,0,,,,3.0,0,,,258.0," Katsei 38, 3890 Gingelom",50.74794,5.12957,https://www.zimmo.be/fr/gingelom-3890/a-vendre/maison/JY54T/
6,Herk-de-Stad,Garage,Place de stationnement,15000,notariale,0,,0,0,0,,,0,,,,,0,,2006.0,," 67, 3540 Herk-de-Stad",50.94075,5.16552,https://www.zimmo.be/fr/herk-de-stad-3540/a-vendre/garage/JY54P/
7,Nieuwerkerken,Appartement,,239000,notariale,2,5.0,0,0,0,,,0,,,,,0,,2012.0,134.0," 110A / 001, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/appartement/JY54O/
8,Gingelom,Appartement,,145000,notariale,3,100.0,0,0,0,,,0,,,,,0,,1961.0,821.0," 74, 3890 Gingelom",50.74908,5.13248,https://www.zimmo.be/fr/gingelom-3890/a-vendre/appartement/JY54N/
9,Sint-Truiden,Appartement,,449000,notariale,3,76.0,0,0,0,,,0,,,,,0,,2005.0,140.0," 74 / 001, 3800 Sint-Truiden",50.81503,5.18508,https://www.zimmo.be/fr/sint-truiden-3800/a-vendre/appartement/JY54J/
0,Nieuwerkerken,Maison,,285222,notariale,3,128.0,0,0,0,,,0,,,,2.0,0,,2021.0,," 107 / W03, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/maison/JY53K/
1,Nieuwerkerken,Maison,,285222,notariale,3,128.0,0,0,0,,,0,,,,2.0,0,,2021.0,," 107 / W06, 3850 Nieuwerkerken",50.86409,5.19317,https://www.zimmo.be/fr/nieuwerkerken-3850/a-vendre/maison/JY53L/
