,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
5,Maldegem,Maison,,329000,notariale,7,242,0,0,0,,,0,,,,2,0,,1999,,https://www.zimmo.be/fr/maldegem-9990/a-vendre/maison/JY39R/
6,Maldegem,Maison,Maison à deux niveaux,329000,notariale,7,242,0,0,0,,,0,,,,2,0,,1999,,https://www.zimmo.be/fr/maldegem-9990/a-vendre/maison/JY39Q/
7,Sint-Niklaas,Maison,,220000,notariale,3,128,0,0,0,,,1,,,,2,0,,1918,379,https://www.zimmo.be/fr/sint-niklaas-9100/a-vendre/maison/JY39B/
8,Lebbeke,Maison,,319000,notariale,7,172,0,0,0,,,0,,,,2,0,,,172,https://www.zimmo.be/fr/lebbeke-9280/a-vendre/maison/JY381/
9,Sint-Amandsberg,Appartement,,369000,notariale,4,53,0,0,0,,,0,,,,,0,,2023,,https://www.zimmo.be/fr/sint-amandsberg-9040/a-vendre/appartement/JY36V/
0,Aalst,Appartement,,275000.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/aalst-9300/a-vendre/appartement/JVY6O/
1,Aalst,Garage,,25000.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/aalst-9300/a-vendre/garage/JVXZ0/
2,Herzele,Bien professionnel,Bien commercial avec habitation,750000.0,notariale,6,,0,0,0,,,0,,,336,4,0,new,,317,https://www.zimmo.be/fr/herzele-9550/a-vendre/bien-professionnel/JVXQE/
3,Stekene,Maison,,1250000.0,notariale,9,40,0,0,0,True,100,0,,,265,4,0,old,1994,169,https://www.zimmo.be/fr/stekene-9190/a-vendre/maison/JVXQD/
4,Kluisbergen,Appartement,,245000.0,notariale,3,127,0,0,0,,,0,127,,,2,0,new,,151,https://www.zimmo.be/fr/kluisbergen-9690/a-vendre/appartement/JVXNX/
5,Lierde,Terrain,Terrain à bâtir,185000.0,notariale,0,,0,0,0,,,0,,,741,4,0,,,,https://www.zimmo.be/fr/lierde-9570/a-vendre/terrain/JVNWJ/
6,Zele,Maison,,395000.0,notariale,6,195,0,0,0,,,1,,,247,3,0,old,2021,,https://www.zimmo.be/fr/zele-9240/a-vendre/maison/JVXJS/
7,Wetteren,Bien professionnel,Bien commercial,179000.0,notariale,2,198,0,0,0,,,1,,,340,2,0,new,1900,,https://www.zimmo.be/fr/wetteren-9230/a-vendre/bien-professionnel/JST4J/
8,Aalst,Maison,,269000.0,notariale,3,175,0,0,0,,,1,,,120,,0,old,1938,287,https://www.zimmo.be/fr/aalst-9300/a-vendre/maison/JVXIT/
9,,Maison,Villa,,notariale,10,586,0,0,0,,,0,,,296,,0,old,1960,397,https://www.zimmo.be/fr/zulte-9870/a-vendre/maison/JVXGI/
0,Sint-Amandsberg,Maison,,419000,notariale,4,,0,0,0,,,1,,,,,0,,,249,https://www.zimmo.be/fr/sint-amandsberg-9040/a-vendre/maison/JXWH9/
1,Erembodegem,Maison,,139000,notariale,3,,0,0,0,,,1,,,,,0,,,961,https://www.zimmo.be/fr/erembodegem-9320/a-vendre/maison/JXWJO/
2,Aalst,Maison,,445000,notariale,9,230,0,0,0,,,1,,,,3,0,,1994,235,https://www.zimmo.be/fr/aalst-9300/a-vendre/maison/JXWJP/
3,Zottegem,Maison,,165000,notariale,5,141,0,0,0,,,0,,,,2,0,,,334,https://www.zimmo.be/fr/zottegem-9620/a-vendre/maison/JXWH7/
4,Aalst,Appartement,,262000,notariale,4,,0,0,0,,,0,,,,,0,,,757,https://www.zimmo.be/fr/aalst-9300/a-vendre/appartement/JXWCB/
5,Melle,Maison,,379000,notariale,7,240,0,0,0,,,1,,,,2,0,,1900,203,https://www.zimmo.be/fr/melle-9090/a-vendre/maison/JXWEE/
6,Aalst,Maison,,219000,notariale,6,155,0,0,0,,,0,,,,3,0,,1950,399,https://www.zimmo.be/fr/aalst-9320/a-vendre/maison/JXWED/
7,Wetteren,Appartement,,165000,notariale,8,50,0,0,0,True,25,0,,,,2,0,,2000,358,https://www.zimmo.be/fr/wetteren-9230/a-vendre/appartement/JXWE0/
8,Wetteren,Appartement,,140500,notariale,8,50,0,0,0,True,25,0,,,,2,0,,2000,167,https://www.zimmo.be/fr/wetteren-9230/a-vendre/appartement/JXWDZ/
9,Berlare,Appartement,Duplex,199500,notariale,3,93,0,0,0,,,0,,,,2,0,,2009,158,https://www.zimmo.be/fr/berlare-9290/a-vendre/appartement/JXWDY/
0,Kruishoutem,Appartement,,175000,notariale,3,65,0,0,0,True,30,0,,,,,0,,2001,110,https://www.zimmo.be/fr/kruishoutem-9770/a-vendre/appartement/JXTPZ/
1,Aalst,Appartement,,275000,notariale,3,75,0,0,0,,,0,,,,2,0,,2019,,https://www.zimmo.be/fr/aalst-9300/a-vendre/appartement/JXTPO/
2,Gent,Appartement,,279000,notariale,3,90,0,0,0,,,0,,,,2,0,,1963,155,https://www.zimmo.be/fr/gent-9000/a-vendre/appartement/JXTMM/
3,Stekene,Terrain,Terrain agricole,47000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/stekene-9190/a-vendre/terrain/JXTMF/
4,Gent,Appartement,,1250000,notariale,4,204,0,0,0,True,10,0,,,,2,0,,1938,206,https://www.zimmo.be/fr/gent-9000/a-vendre/appartement/JXTK6/
5,Zelzate,Maison,,199000,notariale,3,105,0,0,0,,,1,,,,3,0,,1975,368,https://www.zimmo.be/fr/zelzate-9060/a-vendre/maison/JXTK8/
6,Gent,Bien professionnel,Café,250000,notariale,0,,0,0,0,,,0,,,,3,0,,1986,,https://www.zimmo.be/fr/gent-9030/a-vendre/bien-professionnel/JXTK7/
7,Erembodegem,Maison,,365000,notariale,6,257,0,0,0,,,1,,,,3,0,,,251,https://www.zimmo.be/fr/erembodegem-9320/a-vendre/maison/JXTGM/
8,Nazareth,Maison,,675000,notariale,4,150,0,0,0,,,1,,,,,0,,,,https://www.zimmo.be/fr/nazareth-9810/a-vendre/maison/JXTFM/
9,,Maison,Maison deux facades,52000,notariale,3,,0,0,0,,,0,,,,2,0,,1987,103,https://www.zimmo.be/fr/wachtebeke-9185/a-vendre/maison/JXTGJ/
0,Herzele,Maison,Villa,439000,notariale,5,180,0,0,0,,,1,,,,4,0,,2009,148,https://www.zimmo.be/fr/herzele-9550/a-vendre/maison/JXSS8/
1,Welle,Terrain,Terrain à bâtir,255000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/welle-9473/a-vendre/terrain/JXSUJ/
2,Kruishoutem,Maison,,335000,notariale,5,86,0,0,0,True,36,1,,,,4,0,,1964,387,https://www.zimmo.be/fr/kruishoutem-9770/a-vendre/maison/JXSOY/
3,Renaix,Maison,,282500,notariale,4,125,0,0,0,,,1,,,,3,0,,2021,,https://www.zimmo.be/fr/renaix-9600/a-vendre/maison/JXSR1/
4,Brakel,Terrain,,120000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/brakel-9660/a-vendre/terrain/JXSF6/
5,,Projet,,282500,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/renaix-9600/a-vendre/projet-immobilier/10045YJ/
6,Wondelgem,Maison,,424900,notariale,3,242,0,0,0,True,40,0,,,,2,0,,,,https://www.zimmo.be/fr/wondelgem-9032/a-vendre/maison/JXSTL/
7,Wondelgem,Bien professionnel,,424900,notariale,3,242,0,0,0,True,40,0,,,,2,0,,,,https://www.zimmo.be/fr/wondelgem-9032/a-vendre/bien-professionnel/JXSTM/
8,Ertvelde,Appartement,,328000,notariale,3,109,0,0,0,,,1,,,,,0,,,143,https://www.zimmo.be/fr/ertvelde-9940/a-vendre/appartement/JXSL1/
9,Geraardsbergen,Appartement,,259163,notariale,4,96,0,0,0,True,50,1,,,,,0,,2021,,https://www.zimmo.be/fr/geraardsbergen-9500/a-vendre/appartement/JXSNW/
0,Eke,Appartement,,293000.0,notariale,5,,0,0,0,,,1,,,,,0,,,,https://www.zimmo.be/fr/eke-9810/a-vendre/appartement/JXPCC/
1,Gent,Bien professionnel,Bien commercial,370000.0,notariale,3,145,0,0,0,,,0,,,,2,0,,,491,https://www.zimmo.be/fr/gent-9000/a-vendre/bien-professionnel/JXPBT/
2,Herzele,Garage,Place de stationnement,7000.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/herzele-9550/a-vendre/garage/JXPBO/
3,Gent,Appartement,Penthouse,565000.0,notariale,4,133,0,0,0,True,95,0,,,,,0,,2012,,https://www.zimmo.be/fr/gent-9000/a-vendre/appartement/JXPBM/
