,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
4,Geel,Terrain,Terrain à bâtir,125000,notariale,0,,0,0,0,,,1,,,431,4,0,,,,https://www.zimmo.be/fr/geel-2440/a-vendre/terrain/JPJM3/
5,Geel,Terrain,Terrain à bâtir,110000,notariale,0,,0,0,0,,,1,,,312,3,0,,,,https://www.zimmo.be/fr/geel-2440/a-vendre/terrain/JPJM2/
6,Geel,Terrain,Terrain à bâtir,200000,notariale,0,,0,0,0,,,1,,,757,4,0,,,,https://www.zimmo.be/fr/geel-2440/a-vendre/terrain/JPI5Z/
7,Olen,Bien professionnel,Entrepôt,990000,notariale,0,040,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/olen-2250/a-vendre/bien-professionnel/JPI10/
8,Antwerpen,Kot-Colocation,,122900,notariale,1,22,0,0,0,,,0,,,,,0,old,2020,,https://www.zimmo.be/fr/antwerpen-2060/a-vendre/kot-colocation/JPGQN/
9,Antwerpen,Kot-Colocation,,134900,notariale,1,27,0,0,0,,,0,,,,,0,old,2020,,https://www.zimmo.be/fr/antwerpen-2060/a-vendre/kot-colocation/JPGQO/
0,Mechelen,Maison,,418530.0,notariale,5,30,0,0,0,True,64,0,,,,2,0,old,2022,,https://www.zimmo.be/fr/mechelen-2800/a-vendre/maison/JXC0V/
1,Boom,Appartement,,278000.0,notariale,4,,0,0,0,True,41,0,,,,,0,,,128,https://www.zimmo.be/fr/boom-2850/a-vendre/appartement/JXBSX/
2,Antwerpen,Appartement,,239000.0,notariale,3,63,0,0,0,,,0,,,,,0,old,2016,,https://www.zimmo.be/fr/antwerpen-2018/a-vendre/appartement/JXBRE/
3,Balen,Maison,,269000.0,notariale,6,158,0,0,0,,,0,,,624,4,0,old,1952,217,https://www.zimmo.be/fr/balen-2490/a-vendre/maison/JXBRF/
4,Grobbendonk,Maison,,799000.0,notariale,5,360,0,0,0,,,0,,,668,4,0,,,254,https://www.zimmo.be/fr/grobbendonk-2280/a-vendre/maison/JXBRG/
5,,Maison,Maison jumelée,,notariale,2,115,0,0,0,,,1,,,350,,0,,,465,https://www.zimmo.be/fr/brasschaat-2930/a-vendre/maison/JWRQH/
6,Balen,Terrain,Terrain à bâtir,119500.0,notariale,0,,0,0,0,,,0,,,420,,0,,,,https://www.zimmo.be/fr/balen-2490/a-vendre/terrain/JXBQK/
7,Rijmenam,Maison,Maison unifamiliale,330000.0,notariale,6,,0,0,0,,,0,,,500,4,0,,,493,https://www.zimmo.be/fr/rijmenam-2820/a-vendre/maison/JXBQA/
8,Mechelen,Maison,Maison unifamiliale,548000.0,notariale,6,255,0,0,0,,,1,,,806,4,0,old,1986,321,https://www.zimmo.be/fr/mechelen-2800/a-vendre/maison/JXBQ9/
9,Willebroek,Maison,Maison unifamiliale,260000.0,notariale,5,151,0,0,0,,,0,,,,2,0,,,351,https://www.zimmo.be/fr/willebroek-2830/a-vendre/maison/JXBQB/
0,Mortsel,Appartement,,210000,notariale,4,87,0,0,0,True,86,0,,,,3,0,,1994,258,https://www.zimmo.be/fr/mortsel-2640/a-vendre/appartement/JXQF1/
1,Willebroek,Appartement,,250000,notariale,3,90,0,0,0,True,50,0,,,,2,0,,,355,https://www.zimmo.be/fr/willebroek-2830/a-vendre/appartement/JXQAX/
2,Antwerpen,Appartement,,128000,notariale,3,87,0,0,0,,,0,,,,2,0,,1919,320,https://www.zimmo.be/fr/antwerpen-2020/a-vendre/appartement/JXQ8G/
