Unnamed: 0,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,full adress,lat,lng,url
5,Cugnon,Terrain,Terrain à bâtir,249990.0,notariale,0,,0,0,0,,,0,,,,,0,,,," de la Forteresse X, 6880 Cugnon",49.80512,5.20262,https://www.zimmo.be/fr/cugnon-6880/a-vendre/terrain/JXYUE/
6,Samrée,Maison,,265000.0,notariale,6,243.0,0,1,0,,,0,,,,4.0,0,,,264.0," 53, 6982 Samrée",50.20965,5.64138,https://www.zimmo.be/fr/samree-6982/a-vendre/maison/JXYQ7/
7,Rendeux,Maison,Chalet,99900.0,notariale,3,65.0,0,0,0,,,0,,,76.0,4.0,0,old,1974.0,805.0," Sainte Bernadette 34, 6987 Rendeux",50.20071,5.54042,https://www.zimmo.be/fr/rendeux-6987/a-vendre/maison/JX5HY/
8,Paliseul,Terrain,Terrain à bâtir,30000.0,notariale,0,,0,0,0,,,0,,,,,0,,,," Coleau-Colette, 6850 Paliseul",49.90356,5.13743,https://www.zimmo.be/fr/paliseul-6850/a-vendre/terrain/JXYM1/
9,,Maison,,,notariale,2,,0,0,0,,,1,,,,,0,,,390.0," de la pyramide 12, 6940 Durbuy",50.39828,5.50992,https://www.zimmo.be/fr/durbuy-6940/a-vendre/maison/JXYF8/
0,Barvaux-sur-Ourthe,Appartement,Studio,95000.0,notariale,1,34.0,0,1,0,,,0,,,,,0,,2003.0,," 94 / 6, 6940 Barvaux-sur-Ourthe",50.37017,5.51773,https://www.zimmo.be/fr/barvaux-sur-ourthe-6940/a-vendre/appartement/JXY77/
1,Chassepierre,Maison,,495000.0,notariale,15,400.0,0,0,0,,,0,,,,4.0,0,,,261.0," le Ménil 9, 6824 Chassepierre",49.70762,5.25916,https://www.zimmo.be/fr/chassepierre-6824/a-vendre/maison/JXY55/
0,,Projet,,243960.0,notariale,0,,0,0,0,,,0,,,,,0,,,,,50.89885,4.33895,https://www.zimmo.be/fr/arlon-6700/a-vendre/projet-immobilier/10045G8/
1,Maissin,Maison,,385000.0,notariale,6,143.0,0,0,0,,,1,,,,4.0,0,,1969.0,281.0," Neuve 7, 6852 Maissin",49.96332,5.18047,https://www.zimmo.be/fr/maissin-6852/a-vendre/maison/JY3JI/
2,Arlon,Appartement,,340000.0,notariale,5,119.0,0,0,0,,,0,,,,,0,,2007.0,204.0," de la Vierge Noire 3 / 7, 6700 Arlon",49.68478,5.81477,https://www.zimmo.be/fr/arlon-6700/a-vendre/appartement/JY2WG/
3,Aye,Maison,,465000.0,notariale,7,262.0,0,0,0,,,0,,,700.0,,0,,,150.0," Tranquille 1, 6900 Aye",50.22728,5.3186,https://www.zimmo.be/fr/aye-6900/a-vendre/maison/JWRPK/
4,,Projet,,139943.0,notariale,0,,0,0,0,,,0,,,,,0,,2020.0,,,50.89885,4.33895,https://www.zimmo.be/fr/arlon-6700/a-vendre/projet-immobilier/10040YD/
5,Amonines,Maison,,529000.0,notariale,8,10.0,0,0,0,,,1,,,,4.0,0,,2012.0,156.0," de Dochamps 1A, 6997 Amonines",50.26752,5.55907,https://www.zimmo.be/fr/amonines-6997/a-vendre/maison/JY2CV/
6,Hompré,Maison,,295000.0,notariale,5,140.0,0,0,0,,,1,,,,3.0,0,,2019.0,125.0, 6640 Hompré,49.94369,5.68267,https://www.zimmo.be/fr/hompre-6640/a-vendre/maison/JY24E/
7,Arlon,Appartement,,145000.0,notariale,3,75.0,0,0,0,,,0,,,,2.0,0,,,243.0," des Faubourgs 50 / 4, 6700 Arlon",49.68477,5.8104,https://www.zimmo.be/fr/arlon-6700/a-vendre/appartement/JY21X/
8,Torgny,Maison,Usage mixte,695000.0,notariale,22,478.0,0,0,0,,,0,,,,,0,,,," Escofiette 12, 6762 Torgny",49.50725,5.47449,https://www.zimmo.be/fr/torgny-6762/a-vendre/maison/JY21Y/
9,Torgny,Maison,,695000.0,notariale,22,478.0,0,0,0,,,0,,,,,0,,,," Escofiette 12, 6762 Torgny",49.50725,5.47449,https://www.zimmo.be/fr/torgny-6762/a-vendre/maison/JY21Z/
