,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
3,Tubize,Bien professionnel,Bureaux,260000.0,notariale,6,110,0,0,0,,,0,,,,,0,old,2012,158,https://www.zimmo.be/fr/tubize-1480/a-vendre/bien-professionnel/JX28S/
4,Wavre,Appartement,,299000.0,notariale,2,10,0,0,0,True,80,0,,,,2,0,,,,https://www.zimmo.be/fr/wavre-1300/a-vendre/appartement/JX1PZ/
5,Wavre,Appartement,,335000.0,notariale,3,90,0,0,0,True,10,0,,,,2,0,,,,https://www.zimmo.be/fr/wavre-1300/a-vendre/appartement/JX1Q0/
6,Wavre,Appartement,Penthouse,479000.0,notariale,5,80,0,0,0,True,90,0,,,,2,0,,,,https://www.zimmo.be/fr/wavre-1300/a-vendre/appartement/JX1PY/
7,Rixensart,Maison,Villa,1200000.0,notariale,4,300,0,0,1,True,25,1,,,110,4,0,old,2004,137,https://www.zimmo.be/fr/rixensart-1330/a-vendre/maison/JX1GB/
8,Bierges,Maison,,930000.0,notariale,9,420,0,0,1,True,35,1,,,000,4,0,new,1930,456,https://www.zimmo.be/fr/bierges-1301/a-vendre/maison/JX0L5/
9,Genval,Maison,,695000.0,notariale,7,350,1,0,0,True,24,0,,,,4,0,,2000,192,https://www.zimmo.be/fr/genval-1332/a-vendre/maison/JWZTC/
0,Sart-Dames-Avelines,Maison,,585000.0,notariale,8,350,0,0,0,True,15,0,,,763,2,0,new,,153,https://www.zimmo.be/fr/sart-dames-avelines-1495/a-vendre/maison/JTU9L/
1,Perwez,Appartement,,288700.0,notariale,3,109,0,0,0,True,60,0,,,,,0,old,2021,,https://www.zimmo.be/fr/perwez-1360/a-vendre/appartement/JTSGJ/
2,Perwez,Appartement,,304800.0,notariale,5,132,0,0,0,,,0,,,,,0,old,2021,304,https://www.zimmo.be/fr/perwez-1360/a-vendre/appartement/JTSGK/
3,Perwez,Appartement,,211900.0,notariale,2,67,0,0,0,True,60,0,,,,,0,old,2021,117,https://www.zimmo.be/fr/perwez-1360/a-vendre/appartement/JTSGI/
4,Clabecq,Terrain,Bois,880000.0,notariale,0,,0,0,0,,,0,934,0,934,,0,,,,https://www.zimmo.be/fr/clabecq-1480/a-vendre/terrain/JTONE/
5,Mont-Saint-Guibert,Appartement,,361000.0,notariale,3,50,0,0,0,True,73,0,73,,,2,0,old,2022,105,https://www.zimmo.be/fr/mont-saint-guibert-1435/a-vendre/appartement/JTHYB/
6,Jodoigne,Maison,,323000.0,notariale,6,,0,0,0,,,1,,,435,3,0,,,,https://www.zimmo.be/fr/jodoigne-1370/a-vendre/maison/JTAS1/
7,Nivelles,Bien professionnel,Bien commercial,313500.0,notariale,0,190,0,0,0,,,0,,,,4,0,old,2022,,https://www.zimmo.be/fr/nivelles-1400/a-vendre/bien-professionnel/JSVW1/
8,Genappe,Maison,,344034.0,notariale,4,,0,0,0,,,1,,,316,4,0,,,,https://www.zimmo.be/fr/genappe-1470/a-vendre/maison/JT308/
9,Rebecq,Maison,Villa,295000.0,notariale,6,180,0,0,0,,,1,,,300,4,0,old,2020,,https://www.zimmo.be/fr/rebecq-1430/a-vendre/maison/JSXND/
0,Nivelles,Appartement,,225000.0,notariale,3,90,0,0,0,,,0,,,,,0,,,191,https://www.zimmo.be/fr/nivelles-1400/a-vendre/appartement/JXG98/
1,Tubize,Maison,Villa,875000.0,notariale,11,360,0,0,0,,,1,,,782,4,0,,,222,https://www.zimmo.be/fr/tubize-1480/a-vendre/maison/JXFQ0/
2,La Hulpe,Appartement,,465000.0,notariale,4,145,0,0,0,True,50,0,,,,4,0,old,2008,114,https://www.zimmo.be/fr/la%20hulpe-1310/a-vendre/appartement/JXFA0/
3,Waterloo,Appartement,Penthouse,440000.0,notariale,6,124,0,0,0,True,15,0,,,,2,0,old,2014,109,https://www.zimmo.be/fr/waterloo-1410/a-vendre/appartement/JXE3O/
4,Waterloo,Maison,Villa,865000.0,notariale,7,243,0,0,0,True,93,1,,,920,4,0,new,2001,314,https://www.zimmo.be/fr/waterloo-1410/a-vendre/maison/JXE3L/
5,Mont-Saint-Guibert,Appartement,Penthouse,369000.0,notariale,4,114,0,0,0,True,60,0,,,,,0,old,2020,,https://www.zimmo.be/fr/mont-saint-guibert-1435/a-vendre/appartement/JXE3P/
6,Mont-Saint-Guibert,Appartement,,326000.0,notariale,6,90,0,0,0,True,14,1,,,,,0,old,2020,,https://www.zimmo.be/fr/mont-saint-guibert-1435/a-vendre/appartement/JXE3N/
7,Orp-Jauche,Maison,,374866.0,notariale,3,,0,0,0,,,0,,,300,,0,,,,https://www.zimmo.be/fr/orp-jauche-1350/a-vendre/maison/JXE4K/
8,Orp-Jauche,Maison,,436281.0,notariale,3,,0,0,0,,,0,,,300,,0,,,,https://www.zimmo.be/fr/orp-jauche-1350/a-vendre/maison/JXE4L/
9,Mont-Saint-Guibert,Appartement,,335000.0,notariale,4,121,0,0,0,,,0,,,,,0,old,2018,,https://www.zimmo.be/fr/mont-saint-guibert-1435/a-vendre/appartement/JXD7X/
0,,Bien professionnel,Bâtiment d’entreprise,,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/mont-saint-guibert-1435/a-vendre/bien-professionnel/JONW4/
1,Braine-l'Alleud,Appartement,,299671.0,notariale,5,40,0,0,0,True,60,0,,,,,0,,,,https://www.zimmo.be/fr/braine-l%27alleud-1420/a-vendre/appartement/JOJ9S/
2,Jodoigne,Appartement,App. rez-de-chaussée,238905.0,notariale,3,09,0,0,0,True,20,1,,,,,0,,,,https://www.zimmo.be/fr/jodoigne-1370/a-vendre/appartement/JM3FF/
3,,Bien professionnel,Bâtiment d’entreprise,,notariale,0,,0,0,0,,,0,,,027,,0,,,,https://www.zimmo.be/fr/louvain-la-neuve-1348/a-vendre/bien-professionnel/JL9CR/
4,Nivelles,Bien professionnel,Commerce,35000.0,notariale,0,36,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/nivelles-1400/a-vendre/bien-professionnel/JKZE6/
5,Rixensart,Bien professionnel,Bureaux,5500000.0,notariale,1,255,0,0,0,,,0,,,600,4,0,,,,https://www.zimmo.be/fr/rixensart-1330/a-vendre/bien-professionnel/JKTRO/
6,Genval,Garage,Garage en sous-sol,100000.0,notariale,0,,0,0,0,,,0,,,,,0,old,2015,,https://www.zimmo.be/fr/genval-1332/a-vendre/garage/JKMH7/
7,Tubize,Appartement,,242760.0,notariale,4,19,0,0,0,True,44,1,,,,,0,,,,https://www.zimmo.be/fr/tubize-1480/a-vendre/appartement/JK2K5/
8,,Appartement,,,notariale,4,90,0,0,0,True,34,1,,,,,0,,,,https://www.zimmo.be/fr/tubize-1480/a-vendre/appartement/JK2JY/
9,Wavre,Appartement,,268224.0,notariale,3,55,0,0,0,True,66,1,,,,,0,,,,https://www.zimmo.be/fr/wavre-1300/a-vendre/appartement/JK2KD/
0,Ottignies,Appartement,,300000.0,notariale,3,90,0,0,0,True,6,0,,,,2,0,,,,https://www.zimmo.be/fr/ottignies-1340/a-vendre/appartement/JY3Z3/
1,,Projet,,171600.0,notariale,0,,0,0,0,,,0,,,,,0,,2021,,https://www.zimmo.be/fr/perwez-1360/a-vendre/projet-immobilier/10044IX/
2,Wavre,Maison,,650000.0,notariale,9,245,0,0,0,True,39,1,,,,4,0,,2014,141,https://www.zimmo.be/fr/wavre-1300/a-vendre/maison/JY3L3/
3,Mont-Saint-Guibert,Appartement,,345000.0,notariale,4,118,0,0,0,True,55,0,,,,4,0,,2020,,https://www.zimmo.be/fr/mont-saint-guibert-1435/a-vendre/appartement/JY351/
4,Limal,Maison,,735000.0,notariale,8,300,0,0,1,,,1,,,,4,0,,1972,326,https://www.zimmo.be/fr/limal-1300/a-vendre/maison/JY2KF/
5,,Projet,,279000.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/wavre-1300/a-vendre/projet-immobilier/10045LC/
6,Chaumont-Gistoux,Appartement,,675000.0,notariale,5,79,0,0,0,True,30,0,,,,3,0,,2021,,https://www.zimmo.be/fr/chaumont-gistoux-1325/a-vendre/appartement/JY2FP/
7,Chaumont-Gistoux,Appartement,,775000.0,notariale,6,78,0,0,0,True,31,0,,,,,0,,2021,,https://www.zimmo.be/fr/chaumont-gistoux-1325/a-vendre/appartement/JY2FT/
8,Chaumont-Gistoux,Appartement,Duplex,885000.0,notariale,6,59,0,0,0,True,19,1,,,,,0,,2021,,https://www.zimmo.be/fr/chaumont-gistoux-1325/a-vendre/appartement/JY2FU/
9,Chaumont-Gistoux,Appartement,App. rez-de-chaussée,599000.0,notariale,5,71,0,0,0,,,1,,,,,0,,2021,,https://www.zimmo.be/fr/chaumont-gistoux-1325/a-vendre/appartement/JY2FV/
0,Bierges,Appartement,,682000.0,notariale,7,212,0,0,0,True,57,1,,,,3,0,,2022,,https://www.zimmo.be/fr/bierges-1301/a-vendre/appartement/JXN81/
1,Bierges,Appartement,Duplex,673000.0,notariale,6,190,0,0,0,True,38,1,,,,3,0,,2022,,https://www.zimmo.be/fr/bierges-1301/a-vendre/appartement/JXN83/
2,Bierges,Maison,,648000.0,notariale,6,182,0,0,0,True,34,1,,,,3,0,,2022,,https://www.zimmo.be/fr/bierges-1301/a-vendre/maison/JXN84/
3,Bierges,Appartement,Duplex,697000.0,notariale,7,214,0,0,0,True,53,1,,,,3,0,,2022,,https://www.zimmo.be/fr/bierges-1301/a-vendre/appartement/JXN82/
4,Bierges,Appartement,,648000.0,notariale,6,182,0,0,0,True,34,1,,,,3,0,,2022,,https://www.zimmo.be/fr/bierges-1301/a-vendre/appartement/JXN80/
5,,Projet,,648000.0,notariale,0,,0,0,0,,,0,,,,,0,,2022,,https://www.zimmo.be/fr/bierges-1301/a-vendre/projet-immobilier/10045WB/
6,Waterloo,Appartement,,464000.0,notariale,5,135,0,0,0,True,21,0,,,,2,0,,2011,134,https://www.zimmo.be/fr/waterloo-1410/a-vendre/appartement/JXN30/
7,La Hulpe,Appartement,,465000.0,notariale,4,147,0,0,0,True,13,0,,,,3,0,,2008,,https://www.zimmo.be/fr/la%20hulpe-1310/a-vendre/appartement/JXN00/
8,Genappe,Appartement,Duplex,275000.0,notariale,5,135,0,0,0,,,0,,,,3,0,,2008,183,https://www.zimmo.be/fr/genappe-1470/a-vendre/appartement/JXMXP/
9,,Projet,,249500.0,notariale,0,,0,0,0,,,0,,,,,0,,2023,,https://www.zimmo.be/fr/braine-l%27alleud-1420/a-vendre/projet-immobilier/10045JA/
0,Nivelles,Appartement,,185000.0,notariale,2,56,0,0,0,True,5,0,,,,,0,old,2014,234,https://www.zimmo.be/fr/nivelles-1400/a-vendre/appartement/JUVEX/
1,Nivelles,Maison,Villa,1750000.0,notariale,18,500,0,0,0,True,200,1,,,550,4,0,new,1880,452,https://www.zimmo.be/fr/nivelles-1400/a-vendre/maison/JHYGL/
2,Nivelles,Maison,Villa,1495000.0,notariale,18,500,0,0,0,True,200,1,,,550,4,0,new,1880,452,https://www.zimmo.be/fr/nivelles-1400/a-vendre/maison/JHYGM/
3,Wavre,Bien professionnel,Entrepôt avec bureau,895960.0,notariale,1,693,0,0,0,,,0,456,40,496,2,0,old,2020,,https://www.zimmo.be/fr/wavre-1300/a-vendre/bien-professionnel/JUSWJ/
4,Jauche,Terrain,Terrain agricole,394900.0,notariale,0,,0,0,0,,,0,,,088,,0,,,,https://www.zimmo.be/fr/jauche-1350/a-vendre/terrain/JUN3W/
5,Tubize,Bien professionnel,Bureaux,345000.0,notariale,0,100,0,0,0,,,0,900,0,900,,0,,,,https://www.zimmo.be/fr/tubize-1480/a-vendre/bien-professionnel/JUK7T/
6,Tubize,Bien professionnel,Bureaux,345000.0,notariale,0,,0,0,0,,,0,900,0,900,,0,,,,https://www.zimmo.be/fr/tubize-1480/a-vendre/bien-professionnel/JUK7S/
7,Bierghes,Maison,Villa,495000.0,notariale,8,165,0,0,0,True,50,1,,,400,4,0,new,1986,497,https://www.zimmo.be/fr/bierghes-1430/a-vendre/maison/JUFMV/
8,Wavre,Appartement,,360000.0,notariale,4,110,0,0,0,True,30,0,,,,,0,old,2021,117,https://www.zimmo.be/fr/wavre-1300/a-vendre/appartement/JU7ED/
9,La Hulpe,Maison,Villa,2900000.0,notariale,13,000,0,0,0,,,1,,,500,4,0,new,1913,448,https://www.zimmo.be/fr/la%20hulpe-1310/a-vendre/maison/JU0YV/
0,Court-Saint-Etienne,Appartement,,325000.0,notariale,5,94,0,0,0,True,10,1,,,,2,0,,2017,,https://www.zimmo.be/fr/court-saint-etienne-1490/a-vendre/appartement/JXQRW/
1,Wavre,Appartement,,250000.0,notariale,4,97,0,0,0,,,0,,,,,0,,,312,https://www.zimmo.be/fr/wavre-1300/a-vendre/appartement/JXPPQ/
2,Wavre,Appartement,,260000.0,notariale,4,97,0,0,0,,,0,,,,,0,,,236,https://www.zimmo.be/fr/wavre-1300/a-vendre/appartement/JXPPP/
3,,Projet,,335000.0,notariale,0,,0,0,0,,,0,,,,,0,,2020,,https://www.zimmo.be/fr/waterloo-1410/a-vendre/projet-immobilier/10045I1/
