Unnamed: 0,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,full adress,lat,lng,url
4,Neuville-en-Condroz,Maison,Maison unifamiliale,289000.0,notariale,4,85.0,0,0,0,,,1,,,,4.0,0,,,," joseph wauters 11, 4121 Neuville-en-Condroz",50.54607,5.45269,https://www.zimmo.be/fr/neuville-en-condroz-4121/a-vendre/maison/JY3G7/
5,Henri-Chapelle,Maison,,220000.0,notariale,4,,0,0,0,,,1,,,,,0,,,418.0," Charlemagne, 4841 Henri-Chapelle",50.68122,5.9432,https://www.zimmo.be/fr/henri-chapelle-4841/a-vendre/maison/JY2ZR/
6,Grand-Rechain,Maison,,410000.0,notariale,10,,0,0,0,,,1,,,,,0,,,230.0," des Platanes, 4650 Grand-Rechain",50.60881,5.81436,https://www.zimmo.be/fr/grand-rechain-4650/a-vendre/maison/JY2ZQ/
7,Grand-Rechain,Maison,,160000.0,notariale,6,,0,0,0,,,1,,,,,0,,,230.0," des Platanes, 4650 Grand-Rechain",50.60881,5.81436,https://www.zimmo.be/fr/grand-rechain-4650/a-vendre/maison/JY2ZP/
8,Grand-Rechain,Maison,,259000.0,notariale,4,,0,0,0,,,1,,,,,0,,,192.0," des Platanes, 4650 Grand-Rechain",50.60881,5.81436,https://www.zimmo.be/fr/grand-rechain-4650/a-vendre/maison/JY2ZN/
9,Hombourg,Maison,,150000.0,notariale,3,,0,0,0,,,1,,,,,0,,,447.0," Hack, 4852 Hombourg",50.73701,5.95736,https://www.zimmo.be/fr/hombourg-4852/a-vendre/maison/JY2ZM/
0,Liège,Maison,Maison de ville,199000.0,notariale,3,100.0,0,0,0,True,50.0,1,,,,2.0,0,,1899.0,237.0," Pierreuse 178, 4000 Liège",50.65085,5.57359,https://www.zimmo.be/fr/liege-4000/a-vendre/maison/JY259/
1,Villers-le-Bouillet,Maison,,323132.0,notariale,3,,0,0,0,,,0,,,,,0,,,,,50.57607,5.26049,https://www.zimmo.be/fr/villers-le-bouillet-4530/a-vendre/maison/JY1ZC/
2,Héron,Maison,,357099.0,notariale,4,,0,0,0,,,0,,,,,0,,,,,50.54906,5.10072,https://www.zimmo.be/fr/heron-4217/a-vendre/maison/JY1Z6/
3,Nandrin,Maison,,339760.0,notariale,3,,0,0,0,,,0,,,,,0,,,,,50.50651,5.42042,https://www.zimmo.be/fr/nandrin-4550/a-vendre/maison/JY1ZA/
4,Marchin,Maison,,325975.0,notariale,3,,0,0,0,,,0,,,,,0,,,,,50.46474,5.24057,https://www.zimmo.be/fr/marchin-4570/a-vendre/maison/JY1Z8/
5,Villers-le-Bouillet,Maison,,281688.0,notariale,3,,0,0,0,,,0,,,,,0,,,,,50.57607,5.26049,https://www.zimmo.be/fr/villers-le-bouillet-4530/a-vendre/maison/JY1ZB/
6,Braives,Maison,,298131.0,notariale,3,,0,0,0,,,0,,,,,0,,,,,50.62781,5.14781,https://www.zimmo.be/fr/braives-4260/a-vendre/maison/JY1Z2/
7,Clavier,Maison,,291760.0,notariale,3,,0,0,0,,,0,,,,,0,,,,,50.41149,5.36354,https://www.zimmo.be/fr/clavier-4560/a-vendre/maison/JY1Z4/
8,Braives,Maison,,528735.0,notariale,4,,0,0,0,,,0,,,,,0,,,,,50.62781,5.14781,https://www.zimmo.be/fr/braives-4260/a-vendre/maison/JY1Z0/
9,Faimes,Maison,,339173.0,notariale,4,,0,0,0,,,0,,,,,0,,,,,50.6657,5.26202,https://www.zimmo.be/fr/faimes-4317/a-vendre/maison/JY1Z3/
