,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state
2,Schelle,Maison,Maison unifamiliale,279000,notariale,4,110,0,0,0,None,None,0,62,43,105,None,0,new
3,Wilrijk,Appartement,None,288000,notariale,3,90,0,0,0,None,None,0,None,None,None,2,0,new
4,Hoboken,Appartement,None,219000,notariale,3,90,0,0,0,None,None,0,None,None,None,2,0,old
5,Merksem,Appartement,None,210000,notariale,3,110,0,0,0,None,None,0,None,None,None,2,0,new
6,Willebroek,Appartement,None,189000,notariale,3,85,0,0,0,None,None,0,None,None,None,None,0,None
7,Deurne,Appartement,None,169000,notariale,4,80,0,0,0,None,None,0,None,None,None,2,0,None
8,Rijkevorsel,Maison,None,209000,notariale,4,75,0,0,0,None,None,1,None,None,513,3,0,None
9,Antwerpen,Maison,None,1450000,notariale,8,430,0,0,0,True,60,0,None,None,140,2,0,None
0,None,Appartement,None,None,notariale,4,57,0,0,0,True,07,0,None,None,None,None,0,old
1,None,Appartement,None,None,notariale,4,18,0,0,0,True,74,0,None,None,None,None,0,old
2,Bornem,Maison,Villa,645000.0,notariale,9,277,0,0,0,None,None,0,None,None,361,4,0,old
3,Puurs,Maison,Villa,595000.0,notariale,9,260,0,0,0,None,None,0,None,None,870,4,0,old
4,Ekeren,Maison,None,1890000.0,notariale,0,390,0,0,0,None,None,0,None,None,None,2,0,old
5,Schoten,Maison,None,325000.0,notariale,8,279,0,0,0,None,None,0,None,None,109,2,0,new
6,Lier,Appartement,None,409000.0,notariale,5,110,0,0,0,True,10,0,None,None,None,2,0,old
7,Laakdal,Maison,None,389000.0,notariale,5,180,0,0,0,None,None,1,None,None,021,4,0,old
8,Antwerpen,Maison,None,249000.0,notariale,6,209,0,0,0,True,50,1,None,None,126,3,0,None
9,Antwerpen,Maison,Maison exceptionnelle,485000.0,notariale,3,159,0,0,0,True,2,0,None,None,45,2,0,None
0,Schoten,Maison,Villa,1195000,notariale,6,442,0,0,0,None,None,0,None,None,816,4,0,new
1,Edegem,Appartement,None,270000,notariale,3,20,0,0,0,None,None,0,None,None,None,2,0,None
2,Edegem,Appartement,None,270000,notariale,3,76,0,0,0,None,None,0,None,None,None,2,0,None
3,Lier,Appartement,None,246500,notariale,3,90,0,0,0,None,None,0,None,None,90,2,0,None
4,Edegem,Appartement,None,280000,notariale,4,30,0,0,0,None,None,0,None,None,None,3,0,None
5,Lier,Appartement,None,299500,notariale,4,112,0,0,0,None,None,0,None,None,112,2,0,None
6,Edegem,Appartement,None,285000,notariale,3,30,0,0,0,None,None,0,None,None,None,2,0,None
7,Lier,Appartement,None,326000,notariale,4,07,0,0,0,None,None,0,None,None,07,3,0,None
8,Edegem,Appartement,None,260000,notariale,3,20,0,0,0,None,None,0,None,None,None,2,0,None
9,Edegem,Appartement,None,280000,notariale,3,70,0,0,0,None,None,1,None,None,None,2,0,None
0,Boom,Appartement,None,235000,notariale,5,110,0,0,0,True,11,0,None,None,110,None,0,old
1,Breendonk,Maison,None,350000,notariale,9,245,0,0,0,True,28,0,None,None,309,2,0,old
2,Kontich,Maison,None,1150000,notariale,9,270,0,0,0,True,75,0,None,None,591,4,0,new
3,Boom,Appartement,None,273000,notariale,5,94,0,0,0,True,10,0,None,None,94,4,0,old
4,Boom,Maison,None,355000,notariale,10,260,0,0,0,None,None,0,None,None,260,2,0,old
5,Antwerpen,Appartement,Studio,108000,notariale,1,34,0,1,0,None,None,0,None,None,34,2,0,old
6,Breendonk,Maison,None,445000,notariale,9,245,0,0,0,True,28,0,None,None,316,2,0,old
7,Merksplas,Appartement,Duplex,225000,notariale,3,95,0,0,0,None,None,0,None,None,None,3,0,old
8,Tongerlo,Appartement,Duplex,210000,notariale,2,None,0,0,0,None,None,0,None,None,None,None,0,old
9,Tongerlo,Appartement,App. rez-de-chaussée,180000,notariale,1,None,0,0,0,None,None,0,None,None,None,None,0,old
0,Sint-Job-in-'t-Goor,Appartement,None,330000,notariale,3,120,0,0,0,True,65,1,None,None,701,2,0,old
1,Olen,Maison,Maison unifamiliale,389000,notariale,5,202,0,0,0,None,None,0,None,None,168,4,0,old
2,Borsbeek,Appartement,None,234000,notariale,3,105,0,0,0,None,None,0,None,None,None,2,0,old
3,Antwerpen,Maison,Maison unifamiliale,649000,notariale,6,259,0,0,0,None,None,0,None,None,240,2,0,new
4,Herentals,Maison,Maison unifamiliale,299000,notariale,6,201,0,0,0,None,None,1,None,None,433,2,0,None
5,Malle,Maison,Villa,549900,notariale,5,185,0,0,0,True,26,1,None,None,100,4,0,old
6,Balen,Maison,Maison unifamiliale,215000,notariale,3,107,0,0,0,None,None,0,None,None,35,2,0,old
7,Borgerhout,Appartement,None,215000,notariale,6,108,0,0,0,True,6,0,None,None,None,2,0,new
8,Ravels,Maison,None,343178,notariale,0,None,0,0,0,None,None,0,None,None,None,3,0,old
9,Antwerpen,Appartement,None,260000,notariale,3,70,0,0,0,True,7,0,59,None,None,2,0,old
0,Burcht,Appartement,None,304000.0,notariale,4,101,0,0,0,True,35,1,101,7,108,2,0,None
1,Burcht,Appartement,None,304000.0,notariale,4,101,0,0,0,True,35,1,101,7,108,2,0,None
2,Burcht,Appartement,None,367500.0,notariale,4,94,0,0,0,True,23,1,94,93,187,2,0,None
3,Burcht,Appartement,None,255000.0,notariale,3,83,0,0,0,True,11,1,83,11,94,2,0,None
4,Burcht,Appartement,None,335000.0,notariale,4,97,0,0,0,True,23,1,97,49,146,2,0,None
5,Burcht,Appartement,None,375000.0,notariale,4,101,0,0,0,True,35,1,101,35,136,2,0,None
6,Burcht,Appartement,None,420000.0,notariale,4,122,0,0,0,True,26,1,122,26,148,2,0,None
7,None,Maison,Usage mixte,None,notariale,0,None,0,0,0,None,None,0,None,None,None,2,0,None
8,Burcht,Appartement,None,335000.0,notariale,4,97,0,0,0,True,23,1,97,49,146,2,0,None
9,Burcht,Appartement,None,305000.0,notariale,4,94,0,0,0,True,11,1,94,11,105,2,0,None
0,Koningshooikt,Appartement,Penthouse,633600.0,notariale,4,80,0,0,0,True,114,1,None,None,None,4,0,old
1,Antwerpen,Maison,None,359000.0,notariale,4,120,0,0,0,True,6,0,None,None,30,2,0,new
2,Zwijndrecht,Maison,Usage mixte,275000.0,notariale,6,277,0,0,0,None,None,0,None,None,203,2,0,new
3,Antwerpen,Appartement,None,275000.0,notariale,5,90,0,0,0,None,None,0,None,None,None,2,0,old
4,Antwerpen,Appartement,None,275000.0,notariale,3,75,0,0,0,None,None,0,None,None,None,2,0,None
5,Antwerpen,Appartement,Serviceflat,435000.0,notariale,2,64,0,0,0,True,18,1,None,None,None,None,0,old
6,None,Appartement,None,None,notariale,0,None,0,0,0,None,None,0,None,None,None,None,0,None
7,Antwerpen,Maison,None,290100.0,notariale,0,None,0,0,0,None,None,0,None,None,None,None,0,None
8,None,Appartement,None,None,notariale,0,None,0,0,0,None,None,0,None,None,None,None,0,old
9,Berchem,Appartement,None,345000.0,notariale,5,None,0,0,0,True,4,0,None,None,None,3,0,None
0,Antwerpen,Appartement,None,229000,notariale,3,62,0,0,0,True,7,0,None,None,None,2,0,new
1,Merksem,Maison,None,289900,notariale,4,169,0,0,0,True,18,0,None,None,207,2,0,old
2,Mechelen,Maison,None,230000,notariale,5,96,0,0,0,None,None,0,70,40,110,None,0,old
3,Deurne,Maison,None,249900,notariale,3,96,0,0,0,None,None,0,None,None,None,2,0,None
4,Antwerpen,Appartement,None,299500,notariale,3,71,0,0,0,True,8,0,None,None,None,None,0,old
5,None,Maison,Maison deux facades,550000,notariale,9,None,0,0,0,None,None,0,None,None,72,2,0,old
6,Zandhoven,Maison,None,455926,notariale,4,None,0,0,0,None,None,0,None,None,720,None,0,None
7,Oostmalle,Maison,None,451201,notariale,4,None,0,0,0,None,None,0,None,None,617,None,0,None
8,Vorselaar,Maison,None,378288,notariale,3,None,0,0,0,None,None,0,None,None,468,None,0,None
9,Hoboken,Maison,None,259000,notariale,4,154,0,0,0,None,None,1,None,None,None,2,0,None
0,Puurs,Appartement,None,238000,notariale,4,50,0,0,0,True,60,0,None,None,None,2,0,old
1,Puurs,Appartement,None,310000,notariale,4,97,0,0,0,True,90,1,None,None,None,2,0,old
2,Puurs,Appartement,None,215000,notariale,3,60,0,0,0,True,50,0,None,None,None,2,0,old
3,Puurs,Appartement,None,288000,notariale,5,20,0,0,0,True,10,1,None,None,None,3,0,old
4,Puurs,Appartement,None,290000,notariale,4,90,0,0,0,True,50,0,None,None,None,2,0,old
5,Antwerpen,Maison,None,799000,notariale,13,316,0,0,0,True,10,1,330,-200,130,2,0,new
6,Antwerpen,Maison,None,339000,notariale,6,None,0,0,0,None,None,0,None,None,60,None,0,None
7,Bornem,Appartement,None,249500,notariale,3,70,0,0,0,None,None,0,None,None,None,3,0,old
8,Geel,Appartement,None,215000,notariale,2,76,0,0,0,None,None,1,None,None,None,None,0,old
9,Antwerpen,Appartement,None,185000,notariale,2,70,0,0,0,None,None,0,None,None,155,3,0,None
0,Berlaar,Appartement,None,220000,notariale,3,18,0,0,0,True,47,0,None,None,None,None,0,None
1,Berlaar,Appartement,None,275000,notariale,5,93,0,0,0,True,12,0,None,None,None,None,0,None
2,Geel,Appartement,None,239000,notariale,5,130,0,0,0,None,None,0,None,None,None,None,0,None
3,Berchem,Maison,Usage mixte,375000,notariale,4,190,0,0,0,True,1,0,63,None,None,2,0,None
4,Booischot,Maison,None,540000,notariale,8,247,0,0,0,True,25,1,None,None,473,4,0,old
5,Berlaar,Appartement,App. rez-de-chaussée,252000,notariale,4,38,0,0,0,True,72,0,None,None,None,None,0,None
6,Berlaar,Appartement,None,304000,notariale,5,30,0,0,0,True,73,0,None,None,None,None,0,None
7,Berlaar,Appartement,None,280000,notariale,5,111,0,0,0,True,41,0,None,None,None,None,0,None
8,Berlaar,Appartement,None,220000,notariale,3,58,0,0,0,True,70,0,None,None,None,None,0,None
9,Berlaar,Appartement,App. rez-de-chaussée,260000,notariale,4,53,0,0,0,True,76,0,None,None,None,None,0,None
0,Onze-Lieve-Vrouw-Waver,Appartement,None,270000.0,notariale,2,None,0,0,0,None,None,0,None,None,None,2,0,old
1,Willebroek,Appartement,None,179000.0,notariale,2,75,0,0,0,True,30,0,None,None,None,2,0,None
2,None,Maison,Maison exceptionnelle,None,notariale,9,265,0,0,0,None,None,1,None,None,000,3,0,old
3,Ekeren,Maison,None,393000.0,notariale,6,185,0,0,0,True,12,1,None,None,238,2,0,new
4,Antwerpen,Maison,None,415000.0,notariale,3,126,0,0,0,True,12,0,None,None,42,2,0,new
5,Mol,Maison,Villa,745000.0,notariale,9,50,0,0,0,True,60,1,None,None,358,4,0,old
6,Mol,Maison,None,410000.0,notariale,5,206,0,0,0,True,28,1,None,None,050,4,0,old
7,Hoboken,Appartement,None,235000.0,notariale,3,80,0,0,0,True,3,0,None,None,None,2,0,old
8,Mol,Maison,Maison unifamiliale,330000.0,notariale,5,150,0,0,0,None,None,1,None,None,040,4,0,old
9,None,Maison,None,310000.0,notariale,6,None,0,0,0,None,None,0,None,None,518,4,0,None
0,Mechelen,Appartement,Studio avec coin lit,100000,notariale,1,10,0,0,0,True,16,0,None,None,None,2,0,None
1,Antwerpen,Appartement,None,230000,notariale,3,85,0,0,0,None,None,0,None,None,None,2,0,None
2,Geel,Maison,None,362500,notariale,5,240,0,0,0,None,None,1,None,None,250,None,0,old
3,Rijmenam,Maison,Villa,539000,notariale,11,315,0,0,0,None,None,1,None,None,788,4,0,old
4,Berchem,Maison,Villa,695000,notariale,10,435,0,0,0,None,None,1,146,373,519,4,0,old
5,Antwerpen,Maison,Usage mixte,795000,notariale,5,384,0,0,0,True,89,0,None,None,228,2,0,None
6,Antwerpen,Maison,None,370000,notariale,5,187,0,0,0,None,None,1,None,None,90,2,0,None
7,Borgerhout,Appartement,None,230000,notariale,4,78,0,0,0,True,40,0,None,None,90,2,0,old
8,Heist-op-den-Berg,Maison,None,325000,notariale,5,None,0,0,0,None,None,1,None,None,None,3,0,old
9,Brasschaat,Appartement,None,299000,notariale,4,92,0,0,0,True,30,0,None,None,122,None,0,old
