,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
5,Strombeek-Bever,Appartement,,225000.0,notariale,5,85,0,0,0,True,6,0,,,,2,0,old,1969,272,https://www.zimmo.be/fr/strombeek-bever-1853/a-vendre/appartement/JW1DL/
6,Herne,Bien professionnel,Atelier,895000.0,notariale,0,,0,0,0,,,0,,,063,4,0,,,328,https://www.zimmo.be/fr/herne-1540/a-vendre/bien-professionnel/JW0S9/
7,Herne,Maison,Villa,895000.0,notariale,4,,0,0,0,,,1,,,063,4,0,,,328,https://www.zimmo.be/fr/herne-1540/a-vendre/maison/JW0S8/
8,Dilbeek,Bien professionnel,Rez-de-chaussée commercial,365000.0,notariale,0,45,0,0,0,,,0,,,,2,0,old,1986,,https://www.zimmo.be/fr/dilbeek-1700/a-vendre/bien-professionnel/JW0K0/
9,Galmaarden,Terrain,Prairie,178000.0,notariale,0,,0,0,0,,,0,,,048,,0,,,,https://www.zimmo.be/fr/galmaarden-1570/a-vendre/terrain/JW0DB/
0,Halle,Appartement,,395000,notariale,4,115,0,0,0,True,50,0,,,,3,0,old,2018,,https://www.zimmo.be/fr/halle-1500/a-vendre/appartement/JVOIS/
1,Sint-Stevens-Woluwe,Maison,,1250000,notariale,6,423,0,0,0,True,240,0,,,,,0,old,2005,105,https://www.zimmo.be/fr/sint-stevens-woluwe-1932/a-vendre/maison/JVOIK/
2,Melsbroek,Bien professionnel,,598000,notariale,7,01,0,0,0,True,20,1,,,330,3,0,new,1800,229,https://www.zimmo.be/fr/melsbroek-1820/a-vendre/bien-professionnel/JVODA/
3,Melsbroek,Bien professionnel,,598000,notariale,7,01,0,0,0,True,20,1,,,330,3,0,new,1800,229,https://www.zimmo.be/fr/melsbroek-1820/a-vendre/bien-professionnel/JVODD/
4,Melsbroek,Maison,Usage mixte,598000,notariale,7,01,0,0,0,True,20,1,,,330,3,0,new,1800,229,https://www.zimmo.be/fr/melsbroek-1820/a-vendre/maison/JVOD9/
5,Herent,Maison,,528488,notariale,4,154,0,0,0,True,20,1,,,110,,0,old,2021,,https://www.zimmo.be/fr/herent-3020/a-vendre/maison/JVH21/
6,Geetbets,Maison,,295000,notariale,6,,0,0,0,,,0,,,737,,0,new,1950,268,https://www.zimmo.be/fr/geetbets-3450/a-vendre/maison/JVOAT/
7,Heverlee,Appartement,Studio,190000,notariale,1,,0,0,0,,,0,,,,,0,old,1990,177,https://www.zimmo.be/fr/heverlee-3001/a-vendre/appartement/JVO5J/
8,Diest,Maison,Maison unifamiliale,343000,notariale,4,182,0,0,0,,,0,,,313,,0,,,,https://www.zimmo.be/fr/diest-3290/a-vendre/maison/JVO55/
